generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1766009736-NfwyMZKTP3GG5RSnI0jr,2025-12-17 22:15:35.996,0,,,0,0,386,55,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,785,311,,lois
gen-1766009671-qyxP0bQacDrSU91tuN3T,2025-12-17 22:14:31.505,0,,,0,0,267,78,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,838,238,,lois
gen-1766009670-4uMr6MEtxlclOY9WJr4o,2025-12-17 22:14:30.381,0,,,0,0,251,28,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,497,279,,lois
gen-1766009668-T2HDYMAgqRo2mvQ4q9EJ,2025-12-17 22:14:28.681,0,,,0,0,386,66,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,877,228,,lois
gen-1766009612-dItK85g4aJTGg8vi2CJa,2025-12-17 22:13:32.299,0,,,0,0,386,395,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,5222,371,,lois
gen-1766009572-Q8D2yqbo3stSIy9BGoDJ,2025-12-17 22:12:52.092,0,,,0,0,386,50,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,683,305,,lois
gen-1766009286-hVvTBXEiHGR8xKu7MqYC,2025-12-17 22:08:06.018,0,,,0,0,386,78,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1161,377,,lois
gen-1766009103-GcuynyURWhH4jktgqgKZ,2025-12-17 22:05:03.748,0,,,0,0,386,69,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1314,383,,lois
gen-1766008996-nxICN45ftKXwWBdlY4F0,2025-12-17 22:03:16.020,0,,,0,0,386,56,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,769,253,,lois
gen-1766008983-kDe6tPCvPBctUE3IU3lU,2025-12-17 22:03:03.820,0,,,0,0,386,86,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1426,277,,lois
gen-1766008825-uGXaV0qHjZCO86OJ4byk,2025-12-17 22:00:25.099,0,,,0,0,386,47,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,529,307,,lois
gen-1766008770-9aPAVhfsEieYeRAwriLf,2025-12-17 21:59:30.104,0,,,0,0,387,45,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,976,259,,lois
gen-1766008734-Yg2CQpZoKFKnHgMXcUuf,2025-12-17 21:58:54.716,0,,,0,0,387,45,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,763,331,,lois
gen-1766008708-iBkDsWBj694lSDNs2w0W,2025-12-17 21:58:28.219,0,,,0,0,387,66,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1088,599,,lois
gen-1766008590-c216GiAxVQxnpg7tgl8T,2025-12-17 21:56:30.850,0,,,0,0,387,44,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,0,294,,lois
gen-1766008525-zCPPLkSwyEbvxyudDh9M,2025-12-17 21:55:25.386,0,,,0,0,387,44,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,855,293,,lois
gen-1766008450-gNBdnMSA0O5xkltiMze5,2025-12-17 21:54:10.709,0,,,0,0,387,52,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,855,345,,lois
gen-1766008332-ptlOp3cc0aiDvdTndHKe,2025-12-17 21:52:11.925,0,,,0,0,387,52,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,994,252,,lois
gen-1766008029-VnTTWVWIYvAe7KOarPOf,2025-12-17 21:47:09.433,0,,,0,0,386,61,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1284,642,,lois
gen-1766007916-99bMI3XV7ZxDfSTX5tEn,2025-12-17 21:45:16.409,0,,,0,0,389,50,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1090,557,,lois
gen-1766007866-EwjEEAWZAd8m7OsQ8ygr,2025-12-17 21:44:25.978,0,,,0,0,386,59,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,994,361,,lois
gen-1766007802-5TgxwUqEj2Pee9jDdiQp,2025-12-17 21:43:22.809,0,,,0,0,386,61,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1028,420,,lois
gen-1766007681-Rv7unIP2bGFBeHoCwRnZ,2025-12-17 21:41:21.094,0,,,0,0,386,67,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1069,1149,,lois
gen-1766007623-59vQ1Gz9Vw5pCO7OU0LD,2025-12-17 21:40:23.559,0,,,0,0,386,161,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,2321,292,,lois
gen-1766007615-xv92ZSoXAZM8MRKMpqx4,2025-12-17 21:40:15.522,0,,,0,0,389,48,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1088,491,,lois
gen-1766007592-2cztWS7cXSUQkJMnIf0u,2025-12-17 21:39:52.445,0,,,0,0,389,52,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1049,606,,lois
gen-1766007577-VN8ilmfsWRzB4ri0iuxw,2025-12-17 21:39:37.029,0,,,0,0,389,41,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,766,749,,lois
gen-1766007122-2DaQbCW3oDwFBwVxOutg,2025-12-17 21:32:02.425,0,,,0,0,267,81,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,788,427,,lois
gen-1766007121-mY9c1ZxoqrRexMLlrqvS,2025-12-17 21:32:01.290,0,,,0,0,372,27,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,515,334,,lois
gen-1766007119-4wJZ2X6GWl9jRjEE6dEo,2025-12-17 21:31:59.594,0,,,0,0,388,46,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,953,368,,lois
gen-1766007066-PG4bKYkIi6qokR2mFAE4,2025-12-17 21:31:06.722,0,,,0,0,267,81,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,789,321,,lois
gen-1766007065-xhyGf3LeaguA7kJGprl3,2025-12-17 21:31:05.277,0,,,0,0,372,27,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,624,232,,lois
gen-1766007063-zxaByNBwp1koiUyK2ny7,2025-12-17 21:31:03.333,0,,,0,0,388,45,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1081,453,,lois
gen-1766006943-v8M2OneLpoX0E5uc19V2,2025-12-17 21:29:03.211,0,,,0,0,267,81,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1091,482,,lois
gen-1766006941-me8EW5YUYUKUwRDjmGC0,2025-12-17 21:29:01.612,0,,,0,0,372,27,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,773,563,,lois
